Date,Pool,0 - 10,11 - 17,18 - 59,+60,Total
2018-05-26,San Pedro,0,0.0,0.0,0.0,0.0
2018-05-26,Spring Time,0,0.0,0.0,0.0,0.0
2018-05-26,S.S. Lions,823,800.0,735.0,36.0,2394.0
2018-05-26,South Cross,0,0.0,0.0,0.0,0.0
2018-05-26,Sunset Hills,0,0.0,0.0,0.0,0.0
2018-05-26,Westwood ,0,0.0,0.0,0.0,0.0
2018-05-26,Woodlawn,1692,2141.0,2229.0,482.0,6544.0
2018-06-02,Cassiano,0,0.0,0.0,0.0,0.0
2018-06-02,Concepcion,0,0.0,0.0,0.0,0.0
2018-06-02,Cuellar,0,0.0,0.0,0.0,0.0
2018-06-02,Dellview,0,0.0,0.0,0.0,0.0
2018-06-02,Elmendorf,0,0.0,0.0,0.0,0.0
2018-06-02,Fairchild,0,0.0,0.0,0.0,0.0
2018-06-02,Garza,0,0.0,0.0,0.0,0.0
2018-06-02,Heritage,484,377.0,457.0,41.0,1359.0
2018-06-02,Ward,0,0.0,0.0,0.0,0.0
2018-06-02,Kennedy,0,0.0,0.0,0.0,0.0
2018-06-02,Kingsborough,0,0.0,0.0,0.0,0.0
2018-06-02,LBJ,439,228.0,491.0,24.0,1182.0
2018-06-02,Lincoln,0,0.0,0.0,0.0,0.0
2018-06-02,Monterrey,0,0.0,0.0,0.0,0.0
2018-06-02,New Territories,0,0.0,0.0,0.0,0.0
2018-06-02,Normoyle,0,0.0,0.0,0.0,0.0
2018-06-02,Roosevelt,0,0.0,0.0,0.0,0.0
2018-06-02,San Pedro,0,0.0,0.0,0.0,0.0
2018-06-02,Spring Time,0,0.0,0.0,0.0,0.0
2018-06-02,S.S. Lions,770,733.0,686.0,35.0,2224.0
2018-06-02,South Cross,0,0.0,0.0,0.0,0.0
2018-06-02,Sunset Hills,0,0.0,0.0,0.0,0.0
2018-06-02,Westwood ,0,0.0,0.0,0.0,0.0
2018-06-02,Woodlawn,1439,1757.0,1982.0,362.0,5540.0
2018-06-09,Cassiano,0,0.0,0.0,0.0,0.0
2018-06-09,Concepcion,0,0.0,0.0,0.0,0.0
2018-06-09,Cuellar,0,0.0,0.0,0.0,0.0
2018-06-09,Dellview,0,0.0,0.0,0.0,0.0
2018-06-09,Elmendorf,0,0.0,0.0,0.0,0.0
2018-06-09,Fairchild,0,0.0,0.0,0.0,0.0
2018-06-09,Garza,0,0.0,0.0,0.0,0.0
2018-06-09,Heritage,515,350.0,390.0,30.0,1285.0
2018-06-09,Ward,0,0.0,0.0,0.0,0.0
2018-06-09,Kennedy,0,0.0,0.0,0.0,0.0
2018-06-09,Kingsborough,0,0.0,0.0,0.0,0.0
2018-06-09,LBJ,428,240.0,398.0,39.0,1105.0
2018-06-09,Lincoln,0,0.0,0.0,0.0,0.0
2018-06-09,Monterrey,0,0.0,0.0,0.0,0.0
2018-06-09,New Territories,0,0.0,0.0,0.0,0.0
2018-06-09,Normoyle,0,0.0,0.0,0.0,0.0
2018-06-09,Roosevelt,0,0.0,0.0,0.0,0.0
2018-06-09,San Pedro,0,0.0,0.0,0.0,0.0
2018-06-09,Spring Time,0,0.0,0.0,0.0,0.0
2018-06-09,S.S. Lions,783,821.0,759.0,29.0,2392.0
2018-06-09,South Cross,0,0.0,0.0,0.0,0.0
2018-06-09,Sunset Hills,0,0.0,0.0,0.0,0.0
2018-06-09,Westwood ,0,0.0,0.0,0.0,0.0
2018-06-09,Woodlawn,1276,1631.0,1637.0,243.0,4787.0
2018-06-16,Cassiano,387,544.0,304.0,10.0,1245.0
2018-06-16,Concepcion,452,353.0,492.0,21.0,1318.0
2018-06-16,Cuellar,258,312.0,247.0,12.0,829.0
2018-06-16,Dellview,365,378.0,322.0,16.0,1081.0
2018-06-16,Elmendorf,0,0.0,0.0,0.0,0.0
2018-06-16,Fairchild,250,249.0,199.0,6.0,704.0
2018-06-16,Garza,173,294.0,170.0,7.0,644.0
2018-06-16,Heritage,377,193.0,290.0,23.0,883.0
2018-06-16,Ward,245,223.0,175.0,16.0,659.0
2018-06-16,Kennedy,213,279.0,209.0,6.0,707.0
2018-06-16,Kingsborough,410,478.0,384.0,20.0,1292.0
2018-06-16,LBJ,283,200.0,255.0,38.0,776.0
2018-06-16,Lincoln,758,568.0,473.0,16.0,1815.0
2018-06-16,Monterrey,178,295.0,282.0,13.0,768.0
2018-06-16,New Territories,246,194.0,221.0,16.0,677.0
2018-06-16,Normoyle,399,440.0,333.0,18.0,1190.0
2018-06-16,Roosevelt,460,666.0,620.0,15.0,1761.0
2018-06-16,San Pedro,1521,1184.0,1869.0,108.0,4682.0
